tweet_id,seq_len,runtime_s
1,17,0.02091
2,4,0.0084
3,15,0.00728
4,16,0.00734
5,20,0.00738
6,6,0.0073
7,12,0.00778
8,18,0.00744
9,18,0.00735
10,8,0.00718
11,22,0.00726
12,27,0.00736
13,17,0.00732
14,14,0.00754
15,24,0.00716
16,6,0.00738
17,12,0.00709
18,12,0.00735
19,26,0.00717
20,16,0.00739
21,14,0.00739
22,23,0.00728
23,27,0.0073
24,27,0.0074
25,11,0.00741
26,13,0.00713
27,8,0.00734
28,26,0.00777
29,29,0.0076
30,13,0.00789
31,9,0.00768
32,19,0.00719
33,4,0.00739
34,8,0.00738
35,12,0.00747
36,28,0.00722
37,20,0.00745
38,12,0.00743
39,21,0.00808
40,18,0.00734
41,22,0.00769
42,16,0.00722
43,11,0.00823
44,27,0.00726
45,35,0.00748
46,23,0.00733
47,10,0.00756
48,9,0.00737
49,17,0.00726
50,7,0.00701
51,24,0.007
52,14,0.00748
53,26,0.00747
54,19,0.00711
55,15,0.00743
56,21,0.00743
57,11,0.00784
58,30,0.0079
59,23,0.00749
60,26,0.00828
61,12,0.00753
62,14,0.00827
63,23,0.00829
64,8,0.00845
65,11,0.00806
66,6,0.00738
67,13,0.00761
68,12,0.00769
69,27,0.00779
70,19,0.00818
71,20,0.00744
72,23,0.00811
73,36,0.00775
74,18,0.00774
75,14,0.00803
76,10,0.00888
77,27,0.0077
78,12,0.00829
79,22,0.00792
80,20,0.00792
81,21,0.00794
82,27,0.00778
83,11,0.00748
84,23,0.00763
85,17,0.00773
86,10,0.00779
87,9,0.00748
88,8,0.00801
89,32,0.00741
90,16,0.00794
91,4,0.00773
92,24,0.00745
93,28,0.00809
94,8,0.00777
95,35,0.00804
96,28,0.00778
97,13,0.00776
98,19,0.00781
99,10,0.00789
100,9,0.00764
101,20,0.00797
102,5,0.00794
103,17,0.00781
104,12,0.00778
105,29,0.00808
106,26,0.00752
107,33,0.00781
108,26,0.00792
109,18,0.00756
110,21,0.0073
111,18,0.00762
112,17,0.00766
113,15,0.00768
114,30,0.00767
115,23,0.00781
116,13,0.00756
117,15,0.00799
118,21,0.00785
119,20,0.00775
120,29,0.0077
121,24,0.00792
122,29,0.00772
123,7,0.00739
124,17,0.00755
125,6,0.00774
126,11,0.00804
127,9,0.00796
128,26,0.00766
129,28,0.00758
130,20,0.00775
131,22,0.00799
132,25,0.00778
133,17,0.00778
134,16,0.00759
135,4,0.00725
136,14,0.00795
137,25,0.00776
138,31,0.00734
139,9,0.00763
140,11,0.00748
141,10,0.00803
142,14,0.00756
143,20,0.00794
144,5,0.00741
145,17,0.00815
146,26,0.00783
147,14,0.00757
148,9,0.00762
149,10,0.0074
150,9,0.00785
151,33,0.00822
152,31,0.0077
153,13,0.00786
154,19,0.00821
155,10,0.00782
156,7,0.00779
157,13,0.00744
158,10,0.00736
159,8,0.00803
160,8,0.0076
161,14,0.00794
162,27,0.00752
163,30,0.0077
164,11,0.00772
165,9,0.00738
166,12,0.00749
167,21,0.00798
168,26,0.00745
169,11,0.00732
170,8,0.00862
171,31,0.00791
172,10,0.00866
173,37,0.00887
174,29,0.00883
175,16,0.00895
176,8,0.00786
177,29,0.00958
178,18,0.00882
179,4,0.00843
180,16,0.00846
181,6,0.00811
182,31,0.00733
183,25,0.00884
184,12,0.00839
185,16,0.00824
186,24,0.00795
187,9,0.00796
188,5,0.0085
189,15,0.00807
190,9,0.00807
191,24,0.00838
192,5,0.00804
193,15,0.00754
194,25,0.00796
195,9,0.00768
196,27,0.00785
197,10,0.00774
198,12,0.00772
199,8,0.00763
200,20,0.0082
201,36,0.00798
202,11,0.00773
203,8,0.00764
204,12,0.0079
205,21,0.00808
206,12,0.00758
207,18,0.0093
208,15,0.00846
209,19,0.00851
210,11,0.00818
211,5,0.0079
212,17,0.00751
213,8,0.0085
214,25,0.0092
215,21,0.0084
216,13,0.00903
217,44,0.00856
218,8,0.00876
219,13,0.0095
220,6,0.00917
221,20,0.0084
222,19,0.00817
223,33,0.00765
224,14,0.00804
225,25,0.00814
226,37,0.00791
227,9,0.00778
228,13,0.00797
229,19,0.00809
230,7,0.00767
231,11,0.00775
232,22,0.00766
233,27,0.00761
234,28,0.00828
235,18,0.00765
236,18,0.00803
237,15,0.00794
238,21,0.00763
239,7,0.00743
240,21,0.00792
241,25,0.00786
242,26,0.00765
243,10,0.00783
244,25,0.00866
245,11,0.00823
246,14,0.00801
247,29,0.00806
248,14,0.00771
249,23,0.00776
250,10,0.00786
251,9,0.00908
252,19,0.00877
253,23,0.00825
254,25,0.00901
255,7,0.009
256,30,0.00832
257,8,0.00777
258,16,0.00906
259,29,0.00781
260,11,0.00825
261,5,0.00892
262,25,0.00796
263,5,0.00812
264,32,0.00804
265,6,0.00777
266,7,0.00793
267,27,0.00793
268,14,0.00796
269,22,0.00791
270,19,0.00811
271,7,0.00791
272,7,0.00779
273,17,0.00829
274,28,0.00794
275,10,0.00781
276,10,0.00752
277,24,0.00755
278,11,0.00819
279,9,0.00773
280,20,0.00795
281,27,0.00763
282,14,0.00809
283,4,0.00823
284,18,0.00801
285,9,0.00797
286,27,0.0081
287,8,0.00788
288,11,0.0079
289,16,0.00784
290,17,0.00792
291,12,0.00801
292,15,0.00773
293,14,0.00781
294,6,0.0082
295,7,0.00782
296,16,0.00803
297,5,0.00763
298,6,0.00784
299,12,0.00904
300,13,0.00883
301,33,0.00933
302,4,0.00848
303,13,0.00796
304,30,0.00789
305,13,0.00778
306,35,0.00777
307,12,0.00731
308,23,0.00799
309,15,0.00791
310,4,0.00744
311,23,0.0074
312,25,0.00807
313,12,0.00753
314,8,0.00772
315,29,0.0076
316,17,0.00778
317,11,0.00794
318,14,0.00771
319,32,0.00772
320,23,0.00745
321,23,0.00766
322,11,0.00787
323,30,0.00751
324,12,0.00738
325,13,0.00746
326,24,0.00797
327,9,0.00792
328,10,0.00785
329,32,0.00786
330,17,0.00756
331,6,0.00784
332,15,0.00805
333,15,0.00784
334,31,0.00791
335,6,0.00796
336,22,0.00727
337,23,0.00821
338,12,0.00738
339,18,0.00759
340,8,0.00788
341,23,0.00757
342,13,0.00785
343,12,0.00747
344,22,0.00768
345,20,0.00741
346,22,0.00779
347,18,0.00764
348,13,0.00773
349,15,0.00764
350,19,0.00748
351,23,0.00757
352,6,0.00761
353,6,0.00752
354,19,0.00744
355,7,0.00739
356,3,0.0079
357,9,0.00775
358,15,0.00747
359,22,0.00751
360,25,0.00792
361,23,0.00738
362,20,0.00774
363,22,0.00769
364,5,0.00768
365,19,0.00755
366,16,0.00751
367,9,0.00754
368,16,0.00749
369,14,0.00784
370,10,0.0076
371,29,0.00768
372,12,0.00758
373,35,0.00767
374,15,0.0075
375,28,0.00781
376,9,0.00784
377,27,0.00752
378,8,0.00761
379,23,0.0081
380,7,0.00763
381,9,0.00801
382,23,0.00768
383,29,0.00757
384,16,0.0077
385,16,0.008
386,5,0.00749
387,23,0.00776
388,4,0.00755
389,19,0.0077
390,12,0.0076
391,29,0.00781
392,17,0.0075
393,14,0.00781
394,33,0.00953
395,13,0.00834
396,21,0.00776
397,19,0.00817
398,13,0.00819
399,34,0.00756
400,17,0.00728
401,3,0.00725
402,17,0.00776
403,25,0.00758
404,25,0.00766
405,20,0.00782
406,14,0.0073
407,29,0.00764
408,20,0.00761
409,26,0.00763
410,6,0.0079
411,13,0.00754
412,15,0.00763
413,24,0.00719
414,7,0.00767
415,28,0.00736
416,24,0.0073
417,4,0.00763
418,6,0.00763
419,16,0.0077
420,13,0.00747
421,24,0.00776
422,8,0.00741
423,30,0.00777
424,7,0.00746
425,10,0.00729
426,27,0.00777
427,22,0.00758
428,6,0.00796
429,25,0.00772
430,28,0.00799
431,15,0.00795
432,14,0.00742
433,8,0.00747
434,27,0.00732
435,12,0.00772
436,11,0.00759
437,12,0.00767
438,21,0.00774
439,7,0.00755
440,14,0.00763
441,13,0.00752
442,33,0.00788
443,8,0.00797
444,35,0.00728
445,10,0.00765
446,19,0.00801
447,19,0.00756
448,7,0.00725
449,12,0.00739
450,5,0.00755
451,11,0.00765
452,10,0.00771
453,9,0.00744
454,23,0.00768
455,33,0.00782
456,13,0.00761
457,26,0.0076
458,8,0.00755
459,19,0.0078
460,7,0.00764
461,26,0.00766
462,20,0.00748
463,28,0.00781
464,18,0.0075
465,17,0.00785
466,27,0.00762
467,6,0.00763
468,24,0.00767
469,22,0.00769
470,31,0.00763
471,11,0.00754
472,23,0.00751
473,9,0.00744
474,17,0.00762
475,13,0.00789
476,9,0.00767
477,13,0.00789
478,16,0.00767
479,33,0.00748
480,21,0.00753
481,20,0.00752
482,11,0.0077
483,29,0.00757
484,11,0.00776
485,10,0.00757
486,7,0.00749
487,17,0.00748
488,21,0.00796
489,24,0.0074
490,10,0.00772
491,21,0.00766
492,16,0.00749
493,14,0.00801
494,8,0.00804
495,5,0.00743
496,23,0.00762
497,12,0.00767
498,23,0.00772
499,8,0.00764
500,6,0.00768
501,7,0.00765
502,20,0.00754
503,9,0.00769
504,12,0.00753
505,17,0.00759
506,12,0.00751
507,20,0.00863
508,23,0.00784
509,16,0.00803
510,8,0.00795
511,15,0.00771
512,28,0.00804
513,17,0.00764
514,14,0.00787
515,12,0.00771
516,20,0.00769
517,17,0.0078
518,14,0.00752
519,31,0.00761
520,14,0.0078
521,7,0.00815
522,9,0.00757
523,11,0.00775
524,20,0.00815
525,31,0.00757
526,31,0.00785
527,11,0.00787
528,7,0.00788
529,25,0.00768
530,9,0.00777
531,27,0.0075
532,11,0.00825
533,14,0.00798
534,16,0.0076
535,8,0.00787
536,31,0.0076
537,12,0.00785
538,30,0.00775
539,5,0.00808
540,13,0.00787
541,27,0.00819
542,17,0.0076
543,30,0.00788
544,12,0.00757
545,10,0.00752
546,20,0.00843
547,31,0.00783
548,16,0.0078
549,13,0.00749
550,30,0.00788
551,12,0.00756
552,25,0.00783
553,28,0.00747
554,4,0.00782
555,33,0.00785
556,16,0.00778
557,23,0.00767
558,12,0.00768
559,6,0.00775
560,20,0.00773
561,18,0.00765
562,31,0.00766
563,20,0.00812
564,9,0.00752
565,15,0.00779
566,24,0.00756
567,13,0.00756
568,24,0.00778
569,9,0.00771
570,11,0.0076
571,11,0.00846
572,14,0.00777
573,28,0.00779
574,23,0.0078
575,9,0.00764
576,21,0.00752
577,7,0.00833
578,9,0.00768
579,12,0.00759
580,28,0.00822
581,21,0.00768
582,24,0.00781
583,11,0.00784
584,6,0.00771
585,31,0.00769
586,29,0.00755
587,23,0.00806
588,9,0.00788
589,24,0.00751
590,5,0.00761
591,25,0.00807
592,28,0.00793
593,6,0.00769
594,5,0.00762
595,8,0.00772
596,5,0.0075
597,14,0.00749
598,14,0.00777
599,8,0.00817
600,16,0.00782
601,24,0.00761
602,30,0.00811
603,11,0.00769
604,10,0.00771
605,28,0.00774
606,8,0.00773
607,19,0.00761
608,4,0.00773
609,26,0.00811
610,15,0.00759
611,11,0.00755
612,10,0.0075
613,20,0.00848
614,20,0.00761
615,7,0.00762
616,17,0.0085
617,20,0.00762
618,30,0.00778
619,22,0.00765
620,6,0.00752
621,29,0.00782
622,14,0.00782
623,10,0.00777
624,5,0.00752
625,10,0.00752
626,20,0.00778
627,11,0.00786
628,14,0.00763
629,30,0.00791
630,20,0.00764
631,22,0.00818
632,19,0.00765
633,8,0.00779
634,13,0.00773
635,5,0.00809
636,24,0.00762
637,6,0.00762
638,19,0.00763
639,10,0.00784
640,6,0.00763
641,7,0.0077
642,13,0.00803
643,13,0.00756
644,7,0.00773
645,8,0.00771
646,22,0.00768
647,21,0.00776
648,7,0.00745
649,9,0.00753
650,21,0.00822
651,26,0.00768
652,6,0.00766
653,21,0.00761
654,31,0.00767
655,28,0.00761
656,8,0.00807
657,17,0.00738
658,8,0.00783
659,14,0.00762
660,20,0.00775
661,19,0.00747
662,6,0.00787
663,33,0.0076
664,12,0.0075
665,5,0.00754
666,21,0.00778
667,6,0.00766
668,30,0.00741
669,8,0.00751
670,8,0.00767
671,8,0.00756
672,9,0.00749
673,8,0.0078
674,8,0.00814
675,21,0.00755
676,28,0.00771
677,8,0.00761
678,14,0.00782
679,10,0.00769
680,15,0.00788
681,33,0.00762
682,33,0.00759
683,8,0.00767
684,26,0.00768
685,8,0.00838
686,30,0.0077
687,5,0.00797
688,22,0.00768
689,15,0.00821
690,4,0.00795
691,10,0.00791
692,19,0.00825
693,28,0.00831
694,9,0.00759
