tweet_id,seq_len,runtime_s,true_label,predicted_label
1,17,0.06335,0,2
2,4,0.01962,0,2
3,15,0.01896,2,2
4,16,0.01869,0,2
5,20,0.0187,0,2
6,6,0.01861,0,2
7,12,0.0185,2,2
8,18,0.01932,0,2
9,18,0.01866,2,2
10,8,0.01855,0,2
11,22,0.0186,2,2
12,27,0.01836,0,2
13,17,0.01866,2,2
14,14,0.01863,0,2
15,24,0.01875,2,2
16,6,0.01933,0,2
17,12,0.01994,2,2
18,12,0.01939,0,2
19,26,0.019,0,2
20,16,0.01861,0,2
21,14,0.01859,0,2
22,23,0.0185,0,2
23,27,0.01853,2,2
24,27,0.01872,2,2
25,11,0.01862,0,2
26,13,0.01852,2,2
27,8,0.01856,0,2
28,26,0.0188,0,2
29,29,0.01886,0,2
30,13,0.01871,0,2
31,9,0.01856,2,2
32,19,0.01885,2,2
33,4,0.01868,2,2
34,8,0.01877,2,2
35,12,0.01895,2,2
36,28,0.01848,0,2
37,20,0.01848,0,2
38,12,0.01834,0,2
39,21,0.01852,2,2
40,18,0.01921,0,2
41,22,0.01947,2,2
42,16,0.0191,0,2
43,11,0.01883,0,2
44,27,0.01878,2,2
45,35,0.0187,0,2
46,23,0.01865,0,2
47,10,0.01893,2,2
48,9,0.01871,0,2
49,17,0.01878,2,2
50,7,0.01937,0,2
51,24,0.01902,0,2
52,14,0.01863,2,2
53,26,0.01936,2,2
54,19,0.01936,0,2
55,15,0.01896,2,2
56,21,0.01899,2,2
57,11,0.01903,2,2
58,30,0.01906,0,2
59,23,0.01981,0,2
60,26,0.01915,0,2
61,12,0.01896,2,2
62,14,0.019,0,2
63,23,0.01883,0,2
64,8,0.01875,2,2
65,11,0.0187,2,2
66,6,0.01895,2,2
67,13,0.01874,0,2
68,12,0.01862,0,2
69,27,0.0186,0,2
70,19,0.01881,2,2
71,20,0.01881,2,2
72,23,0.01894,2,2
73,36,0.01894,0,2
74,18,0.01882,2,2
75,14,0.01896,2,2
76,10,0.01886,2,2
77,27,0.019,2,2
78,12,0.01885,0,2
79,22,0.01863,0,2
80,20,0.01876,0,2
81,21,0.01863,0,2
82,27,0.01874,0,2
83,11,0.0187,0,2
84,23,0.01931,2,2
85,17,0.01866,0,2
86,10,0.01867,2,2
87,9,0.01864,2,2
88,8,0.01872,2,2
89,32,0.01874,0,2
90,16,0.01883,2,2
91,4,0.01871,2,2
92,24,0.01863,0,2
93,28,0.02106,0,2
94,8,0.01928,0,2
95,35,0.019,2,2
96,28,0.01913,2,2
97,13,0.01916,2,2
98,19,0.01939,2,2
99,10,0.01916,0,2
100,9,0.01931,0,2
101,20,0.01878,2,2
102,5,0.01877,2,2
103,17,0.0188,0,2
104,12,0.01882,2,2
105,29,0.01871,0,2
106,26,0.01871,2,2
107,33,0.0189,0,2
108,26,0.01874,0,2
109,18,0.01886,0,2
110,21,0.01905,0,2
111,18,0.01875,2,2
112,17,0.01881,0,2
113,15,0.01877,0,2
114,30,0.01862,2,2
115,23,0.01864,2,2
116,13,0.01874,0,2
117,15,0.01867,2,2
118,21,0.01866,0,2
119,20,0.01874,2,2
120,29,0.01882,2,2
121,24,0.01955,0,2
122,29,0.01861,0,2
123,7,0.01843,2,2
124,17,0.01871,2,2
125,6,0.01917,0,2
126,11,0.01913,2,2
127,9,0.01921,2,2
128,26,0.01919,0,2
129,28,0.01903,0,2
130,20,0.01942,0,2
131,22,0.01898,2,2
132,25,0.01875,2,2
133,17,0.01888,0,2
134,16,0.01884,0,2
135,4,0.02121,0,2
136,14,0.01923,2,2
137,25,0.01854,2,2
138,31,0.01845,2,2
139,9,0.01863,0,2
140,11,0.01873,0,2
141,10,0.01855,2,2
142,14,0.0186,2,2
143,20,0.01868,2,2
144,5,0.01897,0,2
145,17,0.01973,2,2
146,26,0.02034,0,2
147,14,0.01894,0,2
148,9,0.01874,2,2
149,10,0.01863,0,2
150,9,0.01837,0,2
151,33,0.01835,0,2
152,31,0.01838,2,2
153,13,0.01844,2,2
154,19,0.01861,0,2
155,10,0.01855,0,2
156,7,0.0184,0,2
157,13,0.01851,2,2
158,10,0.01853,0,2
159,8,0.0184,0,2
160,8,0.01981,2,2
161,14,0.01911,0,2
162,27,0.01854,0,2
163,30,0.01841,0,2
164,11,0.01847,0,2
165,9,0.01841,0,2
166,12,0.01839,0,2
167,21,0.01838,0,2
168,26,0.01845,0,2
169,11,0.01826,0,2
170,8,0.01839,2,2
171,31,0.01843,0,2
172,10,0.01836,0,2
173,37,0.01843,0,2
174,29,0.01852,2,2
175,16,0.01849,2,2
176,8,0.01846,0,2
177,29,0.0184,0,2
178,18,0.0183,0,2
179,4,0.01844,2,2
180,16,0.01854,2,2
181,6,0.01838,2,2
182,31,0.01843,2,2
183,25,0.01833,2,2
184,12,0.01842,2,2
185,16,0.01839,2,2
186,24,0.01829,0,2
187,9,0.01842,0,2
188,5,0.01838,2,2
189,15,0.0183,0,2
190,9,0.01836,2,2
191,24,0.0183,2,2
192,5,0.01835,2,2
193,15,0.01826,0,2
194,25,0.0186,2,2
195,9,0.01841,0,2
196,27,0.0183,0,2
197,10,0.01844,0,2
198,12,0.01817,0,2
199,8,0.01981,2,2
200,20,0.01969,0,2
201,36,0.01841,2,2
202,11,0.01827,2,2
203,8,0.01888,0,2
204,12,0.01865,2,2
205,21,0.01882,2,2
206,12,0.01873,2,2
207,18,0.01871,0,2
208,15,0.01863,2,2
209,19,0.01871,0,2
210,11,0.01871,2,2
211,5,0.01869,0,2
212,17,0.01892,0,2
213,8,0.01879,2,2
214,25,0.01895,2,2
215,21,0.01873,0,2
216,13,0.01868,2,2
217,44,0.01845,0,2
218,8,0.0185,2,2
219,13,0.01814,0,2
220,6,0.0183,0,2
221,20,0.01831,2,2
222,19,0.01823,2,2
223,33,0.01812,0,2
224,14,0.01813,2,2
225,25,0.01805,2,2
226,37,0.01822,2,2
