tweet_id,seq_len,runtime_s
1,17,0.24232
2,4,0.027
3,15,0.02839
4,16,0.02695
5,20,0.0264
6,6,0.02609
7,12,0.02602
8,18,0.02686
9,18,0.02584
10,8,0.02644
11,22,0.02616
12,27,0.02678
13,17,0.0258
14,14,0.0285
15,24,0.02913
16,6,0.0265
17,12,0.02596
18,12,0.02587
19,26,0.02572
20,16,0.02596
21,14,0.02509
22,23,0.02594
23,27,0.02661
24,27,0.02656
25,11,0.02625
26,13,0.02858
27,8,0.02623
28,26,0.02534
29,29,0.02587
30,13,0.02589
31,9,0.02577
32,19,0.02586
33,4,0.0253
34,8,0.02584
35,12,0.02566
36,28,0.02622
37,20,0.03243
38,12,0.02845
39,21,0.02808
40,18,0.02613
41,22,0.02561
42,16,0.02691
43,11,0.02668
44,27,0.02605
45,35,0.02632
46,23,0.02571
47,10,0.02622
48,9,0.02739
49,17,0.02964
50,7,0.04994
51,24,0.02824
52,14,0.02583
53,26,0.02553
54,19,0.02659
55,15,0.0267
56,21,0.0257
57,11,0.02624
58,30,0.02683
59,23,0.02568
60,26,0.02915
61,12,0.0265
62,14,0.0261
63,23,0.02599
64,8,0.02553
65,11,0.0264
66,6,0.02576
67,13,0.02588
68,12,0.02566
69,27,0.02532
70,19,0.02602
71,20,0.02858
72,23,0.02583
73,36,0.02674
74,18,0.0262
75,14,0.02534
76,10,0.02615
77,27,0.02561
78,12,0.02588
79,22,0.02633
80,20,0.02588
81,21,0.02539
82,27,0.02594
83,11,0.02859
84,23,0.02562
85,17,0.02676
86,10,0.02625
87,9,0.02614
88,8,0.02578
89,32,0.02584
90,16,0.02585
91,4,0.0253
92,24,0.02559
93,28,0.02587
94,8,0.02754
95,35,0.02515
96,28,0.02592
97,13,0.02708
98,19,0.02646
99,10,0.02565
100,9,0.02624
101,20,0.02583
102,5,0.02526
103,17,0.02633
104,12,0.02648
105,29,0.02899
106,26,0.02686
107,33,0.02711
108,26,0.02664
109,18,0.02652
110,21,0.02677
111,18,0.02679
112,17,0.02624
113,15,0.02742
114,30,0.02779
115,23,0.02822
116,13,0.02685
117,15,0.02967
118,21,0.02702
119,20,0.02674
120,29,0.02699
121,24,0.0265
122,29,0.02618
123,7,0.02653
124,17,0.02608
125,6,0.02686
126,11,0.02639
127,9,0.02601
128,26,0.02986
129,28,0.02719
130,20,0.02648
131,22,0.02625
132,25,0.02644
133,17,0.02684
134,16,0.02666
135,4,0.02646
136,14,0.02644
137,25,0.02685
138,31,0.02645
139,9,0.0291
140,11,0.02631
141,10,0.02795
142,14,0.02668
143,20,0.02668
144,5,0.02677
145,17,0.02639
146,26,0.02673
147,14,0.02618
148,9,0.02636
149,10,0.02641
150,9,0.02622
151,33,0.02946
152,31,0.02667
153,13,0.02674
154,19,0.02687
155,10,0.02646
156,7,0.02619
157,13,0.02649
158,10,0.02679
159,8,0.02628
160,8,0.0269
161,14,0.02594
162,27,0.03
163,30,0.0259
164,11,0.02669
165,9,0.02715
166,12,0.02697
167,21,0.02672
168,26,0.02669
169,11,0.026
170,8,0.02615
171,31,0.02635
172,10,0.02728
173,37,0.02912
174,29,0.02645
175,16,0.02764
176,8,0.02638
177,29,0.02647
178,18,0.02622
179,4,0.02657
180,16,0.02667
181,6,0.02735
182,31,0.02643
183,25,0.02659
184,12,0.02639
185,16,0.02965
186,24,0.02674
187,9,0.02663
188,5,0.0269
189,15,0.0269
190,9,0.02623
191,24,0.02676
192,5,0.02645
193,15,0.02654
194,25,0.02613
195,9,0.02626
196,27,0.02925
197,10,0.02614
198,12,0.02725
199,8,0.02658
200,20,0.02751
201,36,0.02759
202,11,0.02653
203,8,0.02612
204,12,0.02645
205,21,0.02694
206,12,0.02607
207,18,0.02961
208,15,0.0269
209,19,0.02632
210,11,0.02578
211,5,0.02735
212,17,0.02645
213,8,0.02662
214,25,0.02598
215,21,0.02619
216,13,0.02622
217,44,0.02658
218,8,0.0262
219,13,0.0294
220,6,0.02677
221,20,0.02715
222,19,0.02638
223,33,0.02609
224,14,0.02676
225,25,0.02616
226,37,0.02655
227,9,0.02623
228,13,0.02691
229,19,0.02632
230,7,0.02938
231,11,0.03145
232,22,0.02958
233,27,0.02908
234,28,0.02902
235,18,0.03314
236,18,0.03221
237,15,0.03373
238,21,0.0344
239,7,0.03762
240,21,0.04002
241,25,0.04035
242,26,0.04201
243,10,0.03201
244,25,0.02917
245,11,0.03273
246,14,0.03228
247,29,0.03299
248,14,0.03365
249,23,0.03634
250,10,0.0343
251,9,0.034
252,19,0.03451
253,23,0.04253
254,25,0.03123
255,7,0.03481
256,30,0.03704
257,8,0.03262
258,16,0.04218
259,29,0.03128
260,11,0.03094
261,5,0.03326
262,25,0.0324
263,5,0.03141
264,32,0.03337
265,6,0.03173
266,7,0.0284
267,27,0.02764
268,14,0.02645
269,22,0.02686
270,19,0.02631
271,7,0.0265
272,7,0.02802
273,17,0.02651
274,28,0.02769
275,10,0.02935
276,10,0.02714
277,24,0.0265
278,11,0.02707
279,9,0.02681
